,Clouds,Humidity,Lat,Lon,Temp,Wind
mehamn,75.0,72.0,71.04,27.85,17.6,77.17
ponta do sol,20.0,68.0,32.67,-17.1,60.13,8.05
aksu,0.0,65.0,41.12,80.26,22.69,1.59
kirakira,100.0,81.0,-10.45,161.92,80.62,4.25
surin,100.0,85.0,14.88,103.49,75.99,5.19
hermanus,96.0,87.0,-34.42,19.23,60.33,0.94
tuatapere,95.0,85.0,-46.13,167.68,57.0,5.99
punta arenas,75.0,62.0,-53.15,-70.92,59.58,17.22
kalabo,92.0,84.0,-14.97,22.68,69.75,3.18
karla,90.0,100.0,59.37,24.93,39.31,6.93
cape town,99.0,67.0,-33.93,18.42,62.78,12.75
marshfield,90.0,74.0,44.67,-90.17,31.53,8.05
male,66.0,76.0,4.17,73.51,80.55,10.71
busselton,0.0,40.0,-33.65,115.33,66.02,9.8
crawfordsville,90.0,86.0,40.04,-86.87,32.43,9.17
butaritari,60.0,79.0,3.07,172.79,84.09,21.94
sidi ali,0.0,86.0,36.1,0.42,47.05,1.9
vagur,37.0,54.0,61.47,-6.81,42.48,9.24
saskylakh,79.0,97.0,71.92,114.08,-24.38,3.11
kuching,75.0,94.0,1.55,110.33,78.49,2.3
dubbo,0.0,78.0,-32.25,148.62,75.2,8.05
atuona,36.0,78.0,-9.8,-139.03,81.09,13.4
victoria,20.0,62.0,22.29,114.16,51.51,8.05
dikson,91.0,98.0,73.51,80.55,-10.73,1.59
dambulla,100.0,90.0,7.86,80.65,66.97,5.28
lebu,14.0,52.0,-37.62,-73.65,70.47,12.06
port-gentil,20.0,88.0,-0.72,8.78,82.4,5.82
rikitea,55.0,80.0,-23.12,-134.97,79.52,12.1
loralai,0.0,63.0,30.37,68.6,35.13,15.7
berbera,36.0,63.0,10.44,45.01,77.38,5.75
along,0.0,85.0,28.17,94.77,43.14,4.23
san rafael,5.0,25.0,-34.62,-68.33,90.07,15.35
ballina,75.0,94.0,-28.87,153.57,68.81,10.29
la ronge,75.0,92.0,55.1,-105.28,12.2,3.36
yellowknife,90.0,92.0,62.46,-114.35,19.63,12.75
san andres,20.0,62.0,12.58,-81.7,84.2,6.93
namibe,90.0,76.0,-15.2,12.15,75.54,3.09
orizona,100.0,90.0,-17.03,-48.3,74.12,5.26
bluff,35.0,85.0,-46.6,168.33,57.0,5.99
petropavlovsk-kamchatskiy,77.0,63.0,53.05,158.65,30.2,5.93
astana,90.0,85.0,51.18,71.45,15.8,22.37
hun,0.0,56.0,29.13,15.95,59.0,7.54
marawi,90.0,92.0,8.0,124.29,75.99,5.01
geraldton,0.0,88.0,-28.77,114.6,66.2,3.36
ust-ordynskiy,0.0,77.0,52.8,104.75,5.0,8.95
hofn,75.0,86.0,64.25,-15.21,30.2,11.41
vaini,40.0,100.0,-21.2,-175.2,78.8,2.24
jamestown,90.0,92.0,42.1,-79.24,31.42,9.17
thompson,90.0,84.0,55.74,-97.86,6.8,3.49
khani,78.0,45.0,41.96,42.96,46.4,13.87
tuktoyaktuk,20.0,74.0,69.45,-133.04,-22.0,14.99
mataura,90.0,85.0,-46.19,168.86,57.0,5.99
ushuaia,40.0,54.0,-54.8,-68.3,57.02,12.75
kruisfontein,100.0,74.0,-34.0,24.73,58.33,4.43
albany,90.0,60.0,42.6,-73.97,37.87,11.41
port elizabeth,100.0,77.0,-33.92,25.57,62.6,9.17
khatanga,58.0,100.0,71.97,102.5,-18.4,2.82
arraial do cabo,12.0,69.0,-22.97,-42.03,83.28,20.8
saint-philippe,0.0,73.0,-21.36,55.77,70.72,5.82
hobart,75.0,51.0,-42.88,147.33,58.53,17.22
ilulissat,90.0,60.0,69.22,-51.1,8.6,6.93
puerto ayora,40.0,62.0,-0.74,-90.35,81.12,10.29
avarua,100.0,94.0,-21.21,-159.78,78.8,11.41
amos,90.0,100.0,48.57,-78.12,22.41,14.99
vallenar,0.0,46.0,-28.57,-70.76,76.77,11.74
de aar,100.0,18.0,-30.65,24.01,69.33,7.99
tahe,0.0,96.0,52.33,124.73,-5.87,2.48
kaitangata,68.0,92.0,-46.28,169.85,56.37,8.3
mangai,60.0,51.0,-4.05,19.53,76.91,1.9
bredasdorp,100.0,67.0,-34.53,20.04,61.14,1.12
zdvinsk,100.0,94.0,54.7,78.66,17.2,12.44
sao joao da barra,75.0,69.0,-21.64,-41.05,82.4,13.87
haines junction,66.0,95.0,60.75,-137.51,14.18,9.93
iquitos,75.0,53.0,-3.75,-73.25,95.0,5.82
la asuncion,0.0,52.0,11.03,-63.86,87.8,13.87
narsaq,75.0,56.0,60.92,-46.05,15.8,6.06
butiama,75.0,83.0,-1.77,33.97,71.6,3.76
shenjiamen,95.0,79.0,29.96,122.3,44.83,23.24
gashua,5.0,13.0,12.87,11.05,65.93,9.53
ohara,75.0,100.0,35.25,140.38,36.48,16.11
san jose,75.0,76.0,37.34,-121.89,56.44,8.05
taoudenni,0.0,22.0,22.68,-3.98,76.15,10.6
kodiak,75.0,66.0,57.79,-152.41,15.8,4.7
hithadhoo,100.0,79.0,-0.6,73.08,81.54,15.93
vestmannaeyjar,93.0,64.0,63.44,-20.27,39.85,21.36
steamboat springs,90.0,100.0,40.48,-106.83,28.51,10.29
mahebourg,75.0,69.0,-20.41,57.7,75.31,5.82
lewistown,90.0,69.0,40.6,-77.57,37.83,9.17
sal rei,0.0,73.0,16.18,-22.92,73.4,18.34
